courier_id,aoi_id
4849,94
4849,235
435,570
1558,570
4609,570
949,819
1558,819
1558,970
949,1101
4849,1118
435,1530
4609,1530
4849,1642
1558,1665
2398,1665
4849,1696
1558,1822
4849,1822
949,1996
435,2236
1558,2236
949,2553
4849,2553
435,2796
4849,2928
435,3044
435,3081
1558,3598
949,3631
949,3772
435,4036
4849,4310
949,5182
1558,5182
4849,5182
1558,5300
435,5314
4609,5314
949,5569
1558,5569
4849,5569
949,5647
435,5704
152,5789
1558,5789
1558,5932
949,5944
949,6011
435,6018
1558,6018
435,6301
949,6393
435,6852
1558,6852
949,7307
949,7493
4849,7493
4849,7771
2398,7779
4849,7782
4609,8006
4322,8103
949,8112
1558,8112
4849,8112
949,8384
4849,8384
949,8444
1558,8444
1558,8472
4849,8472
949,8556
435,9071
1558,9071
949,9104
949,9398
435,9441
4849,9494
435,9502
949,9502
1558,9502
3073,9502
1558,9565
1558,10052
4849,10052
4849,10069
949,10080
1558,10283
435,10631
1558,10631
4609,10631
1558,10752
4849,10752
4849,10790
435,10863
1558,10863
4609,11030
1558,11415
435,11440
1558,11600
949,11647
435,11840
4849,12538
949,12761
1558,12996
4849,12996
435,13183
1558,13183
435,13184
4849,13316
4849,13464
949,13468
1558,13468
949,13549
1558,13549
4849,13799
435,13919
949,13919
1558,13919
3073,13919
1558,13989
4849,13989
949,14083
949,14173
1558,14794
1558,14853
435,14907
1558,14907
4609,14907
949,15688
949,15710
1558,15710
4849,15899
4849,15911
4849,15991
1558,16012
4849,16012
949,16085
1558,16085
4849,16085
435,16176
949,16244
949,16247
949,16497
4849,16497
1558,16746
4849,16746
949,16933
949,16960
1558,16960
435,17246
152,17463
1558,17682
4849,17682
949,17754
4849,17860
949,18072
4849,18432
4849,18606
949,18798
949,18808
435,18849
1558,18849
435,18936
1558,18936
949,18965
4849,18965
4322,19100
4849,19134
4849,19135
4849,19326
435,19890
4849,20132
1558,20255
4849,20255
4849,20360
1558,20428
4849,20428
4849,20570
152,20778
4849,20936
1558,20946
435,21130
949,21202
1558,21358
1558,21649
4849,21752
949,22008
1558,22008
4849,22008
4849,22254
949,22334
4849,22450
1558,23349
4849,23349
1558,23461
4849,23461
1558,23468
949,23669
949,23849
435,24339
4849,24345
1558,24543
4849,25071
1558,25190
4609,25190
4849,25190
949,25537
1558,25537
4322,25537
4849,25621
4849,25646
1558,25687
4849,25914
1558,25976
2398,25976
949,26243
949,26323
949,26361
1558,26637
4849,26637
4849,26705
1558,26808
4849,26808
949,26865
4849,26865
435,26891
1558,26891
435,27720
4609,27720
152,28017
435,28017
1558,28017
2398,28017
4322,28017
4849,28096
4849,28366
435,28772
1558,28772
435,28865
949,28957
1558,28957
4849,28957
1558,29193
4849,29193
949,29492
1558,29492
4849,30113
435,30242
1558,30242
2208,30242
4849,30296
2398,30942
1558,31417
1558,31440
949,31845
1558,32085
949,32112
1558,32221
1558,32583
4849,32583
1558,32584
4849,32663
1558,32807
435,32819
1558,32819
4609,32819
4322,33050
4849,33154
949,33181
1558,33181
4849,33181
1558,33452
2208,33452
4114,33452
4322,33452
4849,33452
949,33709
4849,33795
152,34177
4322,34177
949,34231
1558,34231
435,34404
1558,34404
435,34599
949,34720
1558,34720
4849,34738
435,34863
435,34936
4609,34936
949,35007
435,35294
949,35429
1558,35429
4849,35429
152,35440
435,35440
1558,35440
2398,35440
435,35478
4609,35478
4849,35857
4849,35900
1558,35910
1558,35984
949,36018
1558,36158
435,36500
4609,36500
1558,36553
4849,37064
1558,37289
949,37327
949,37533
1558,37719
4849,37719
949,38012
949,38165
1558,38165
949,38263
4849,38926
2208,38961
2208,39219
949,39230
1558,39230
4849,39472
1558,39705
1558,39710
4849,39724
4849,39772
1558,39953
949,39974
1558,39974
1558,40178
949,40504
1558,40504
949,40884
4849,40884
949,41344
4849,41442
1558,41489
4609,41489
4849,41489
1558,41760
1558,41903
152,42078
435,42078
435,42217
1558,42597
435,42847
949,43171
4849,43201
4849,43217
435,43432
435,43798
1558,43798
2398,43798
949,43878
1558,43878
2208,43899
949,43946
949,44289
1558,44289
949,44320
4849,44359
1558,44400
152,44419
949,44572
435,44702
949,44710
949,44726
4849,44794
1558,44810
435,45129
2208,45129
949,45191
1558,45191
4849,45191
949,45213
1558,45684
949,45949
4849,45949
4849,45953
152,46191
1558,46191
2398,46191
4322,46191
4849,46511
435,46542
1558,46542
4609,46542
435,46788
1558,46788
4322,46788
4609,46788
2398,47104
4849,47176
435,47237
1558,47237
2398,47237
4849,47367
949,47633
1558,47633
4849,47633
1558,47785
435,47788
1558,47792
1558,48139
949,48391
949,48458
435,48464
4849,48569
1558,48965
4849,48965
4849,49011
1558,49087
2208,49087
3073,49087
4849,49087
435,49206
4609,49206
1558,49267
4849,49267
949,49269
4849,49269
1558,49273
435,49602
4849,49612
1558,49627
2208,49627
1558,49630
4849,49630
1558,49731
435,49895
435,50147
4322,50234
4849,50247
1558,50287
4849,50287
949,50433
435,50954
4609,50954
4849,51019
4849,51056
949,51498
4849,51658
1558,51726
435,51781
949,52007
949,52375
1558,52375
435,52532
1558,52532
1558,52596
2208,52596
3073,52596
4114,52596
4849,52596
2208,52667
4849,52793
4849,52976
1558,52986
4849,52986
1558,53001
4322,53001
1558,53510
1558,53867
4849,53867
4849,53998
1558,54010
949,54239
949,54283
1558,54328
1558,54571
4849,54643
4849,54780
435,55024
1558,55024
435,55132
1558,55236
4849,55236
1558,55259
949,55466
1558,55466
2208,55466
3073,55466
4114,55466
4849,55466
949,55525
1558,55525
949,55844
152,56111
1558,56437
1558,56460
4849,56567
4849,56582
4849,56765
4849,57017
435,57050
2398,57050
435,57051
4849,57286
4322,57679
4849,57996
435,58109
2659,58624
4322,58624
4849,58824
435,58951
1558,58951
4609,58951
949,59019
4849,59019
1558,59111
4849,59111
949,59454
4322,59603
949,59690
1558,59690
435,59983
75,328
487,584
1103,629
3559,754
4474,754
75,952
1087,1317
1103,1317
2618,1317
75,1346
979,1402
2615,1402
4474,1402
1103,1481
2289,1481
75,1713
1103,1713
1087,1838
1103,1838
2618,1838
979,2288
4474,2288
75,2512
3939,2512
3559,2829
4474,2829
75,2888
1103,2888
4474,2888
75,3177
75,3364
1103,3364
2618,3364
487,3471
1103,3767
75,3811
1177,4003
487,4706
1103,4706
75,4891
75,5208
487,5208
979,5208
2615,5208
4474,5208
854,5573
3559,5573
75,5740
1103,5933
3559,5933
4474,6599
75,6671
1103,6704
1756,6704
487,6851
487,7156
4474,7156
75,7189
487,7388
487,7448
979,7448
4474,7448
1756,7973
3559,7973
75,8024
979,8090
2615,8090
4474,8090
487,8129
318,8251
487,8251
75,8306
3939,8306
1103,8358
4474,8358
967,8681
1103,8786
75,9028
3939,9028
75,9037
3939,9037
979,9147
2615,9147
4474,9147
75,9603
1087,9603
1103,9603
2618,9603
4474,9734
1087,9781
4474,9785
75,9811
4474,9846
1177,10049
75,10156
75,10400
3939,10400
1177,10651
75,10782
1103,10939
75,11490
487,11537
487,11885
979,11885
2615,11885
4474,11885
3559,12215
4474,12215
487,12230
487,12613
75,12648
2060,12690
4474,12690
487,12881
1103,12962
75,12990
75,13164
1103,13164
2618,13164
75,13177
75,13214
75,13334
3939,13334
4474,13334
75,13792
75,14022
4474,14022
487,14055
2452,14055
75,14303
1103,14360
75,14373
3939,14373
75,14387
75,15240
1103,15240
487,15516
2452,15516
487,15543
979,15543
3559,15543
4474,15543
979,15877
4474,15877
1103,15920
75,16364
4474,16457
979,16510
2615,16510
3559,16510
4474,16510
75,16576
1103,16576
1103,16842
487,16891
2615,16891
4474,16891
75,17037
1103,17037
2618,17037
979,17123
2615,17123
4474,17123
75,17232
1103,17232
4474,17232
1103,17447
487,17739
979,17850
4474,17850
1177,17896
75,17898
4474,17898
75,17940
4474,17944
75,18033
979,18131
2615,18131
4474,18131
75,18228
75,18628
4474,18628
487,18651
2452,18651
487,18820
487,18923
487,19133
967,19329
75,19451
487,19706
75,19730
1103,19730
75,19837
487,19996
2060,20165
4474,20165
1103,20368
75,20617
487,20617
75,20663
75,20670
3939,20670
75,20674
1103,20674
979,20767
2060,20767
4474,20767
75,20869
3559,20882
4474,20882
1177,21019
3559,21019
487,21120
2452,21120
4474,21129
4474,21412
318,21434
487,21434
2452,21434
487,21930
75,21986
487,22007
487,22596
2452,22596
75,22969
487,23150
979,23421
4474,23421
487,23553
1103,23616
487,23671
979,23760
1103,23760
2060,23760
4474,23760
75,23982
487,24212
75,24279
4474,24279
318,24423
487,24423
2452,24423
4474,24837
1103,24957
75,25057
75,25075
1103,25075
75,25076
487,25234
979,25234
3559,25234
4474,25234
1177,25272
3559,25272
75,25401
1103,25497
4474,25497
1177,25708
3559,25708
75,25723
487,25798
75,25948
1177,25964
967,26312
487,26427
75,26541
1103,26541
2615,26658
4474,26658
75,26703
487,26703
75,26953
75,26996
979,26996
4474,26996
75,27325
75,27334
75,27457
487,27597
1177,27597
979,27744
2615,27744
4474,27744
3559,28533
4474,28533
4474,28542
487,28815
487,28993
3559,29173
218,29279
1103,29279
487,29333
75,29376
1103,29376
2618,29376
75,29397
1103,29397
75,29706
1103,29706
487,29783
4474,30169
75,30437
75,30548
854,30554
4474,31004
1177,31102
1177,31190
2615,31299
4474,31299
979,31324
4474,31324
75,31443
1103,31443
487,31689
2452,31689
2138,31700
1177,32089
979,32622
4474,32622
4474,32846
487,32917
1103,32929
4474,32984
4474,33045
1103,33128
487,33200
75,33339
1177,33759
75,33928
967,34278
854,34918
1177,34918
2289,34918
3559,34918
75,34929
1103,34929
979,35154
4474,35154
75,35277
1177,35277
1103,35673
2618,35673
1103,35800
75,36179
487,36247
1794,36247
2138,36247
4785,36247
4801,36247
1177,36543
318,36840
487,36840
2452,36840
1087,36997
1103,36997
3559,36997
75,37082
75,37180
4474,37180
487,37274
979,37659
4474,37659
1756,37878
3559,37878
2060,37881
4474,37881
75,37888
1103,38133
2618,38133
1177,38479
979,38713
4474,38713
979,38784
4474,38784
75,38982
1103,38982
75,39381
1177,39452
75,39525
75,39877
75,40076
487,40214
4474,40214
75,40284
487,40415
75,40423
1103,40890
3559,40890
75,40932
1103,40932
75,41019
75,41204
1103,41683
3559,41762
4474,41762
487,42098
1103,42280
2289,42280
3559,42638
4474,42638
1103,42716
854,42803
1177,42803
75,42840
3939,42840
487,42963
2452,42963
487,43031
75,43117
967,44253
75,44666
4474,44704
75,44855
1103,44855
2618,44855
75,44880
75,45037
75,45258
3939,45258
4474,45481
75,45506
1103,45578
2618,45578
75,46219
3939,46219
4474,46457
75,46581
75,46731
75,47068
1103,47068
1103,47102
979,47275
4474,47275
75,47308
75,47582
487,47582
979,47582
2060,47582
2615,47582
3559,47582
4474,47582
75,47722
4474,48366
4474,48434
4474,48549
75,48701
487,48754
487,48862
487,48973
979,49270
